LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
samples=288152 size=1 D=2 S=0
Background color: (1078947517,1193252365,1078573555)
1087,257357,36656,147
1088,257357,36656,147
1089,257357,36656,147
1090,257364,36649,147
1091,257382,36631,147
1092,257450,36562,148
1093,257451,36561,148
1094,257451,36561,148
1095,257477,36535,148
1096,257477,36535,148
1097,257573,36439,148
1098,257693,36319,148
1099,257718,36294,148
1100,257839,36173,148
1101,257839,36173,148
1102,257918,36093,149
1103,258125,35884,151
1104,258125,35884,151
1105,258133,35876,151
1106,258170,35839,151
1107,258203,35805,152
1108,258333,35672,155
1109,258333,35672,155
1110,258483,35522,155
1111,258485,35520,155
1112,258485,35520,155
1113,258644,35361,155
1114,258771,35234,155
1115,258808,35197,155
1116,258808,35197,155
1117,258808,35197,155
1118,258991,35014,155
1119,259062,34943,155
1120,259062,34943,155
1121,259090,34915,155
1122,259225,34780,155
1123,259285,34720,155
1124,259291,34714,155
1125,259297,34708,155
1126,259333,34672,155
1127,259396,34609,155
1128,259396,34609,155
1129,259403,34602,155
1130,259427,34578,155
1131,259591,34414,155
1132,259608,34397,155
1133,259608,34397,155
1134,259909,34096,155
1135,260036,33969,155
1136,260036,33969,155
1137,260036,33969,155
1138,260075,33930,155
1139,260114,33891,155
1140,260251,33754,155
1141,260428,33577,155
1142,260553,33451,156
1143,260664,33337,159
1144,260664,33337,159
1145,260765,33236,159
1146,260862,33139,159
1147,260888,33112,160
1148,260890,33110,160
1149,260890,33110,160
1150,261006,32994,160
1151,261027,32973,160
1152,261027,32973,160
1153,261027,32973,160
1154,261040,32960,160
1155,261254,32746,160
1156,261258,32742,160
1157,261294,32706,160
1158,261416,32584,160
1159,261451,32548,161
1160,261451,32548,161
1161,261514,32485,161
1162,261700,32299,161
1163,261702,32297,161
1164,261712,32287,161
1165,261713,32286,161
1166,261747,32252,161
1167,261962,32037,161
1168,261962,32037,161
1169,261968,32031,161
1170,262093,31906,161
1171,262123,31876,161
1172,262180,31819,161
1173,262198,31801,161
1174,262288,31711,161
1175,262308,31691,161
1176,262308,31691,161
1177,262357,31642,161
1178,262359,31640,161
1179,262461,31538,161
1180,262674,31325,161
1181,262674,31325,161
1182,262890,31109,161
1183,262890,31109,161
1184,262890,31109,161
1185,262890,31109,161
1186,262989,31010,161
1187,263053,30946,161
1188,263074,30925,161
1189,263151,30848,161
1190,263164,30835,161
1191,263453,30545,162
1192,263453,30545,162
1193,263453,30545,162
1194,263621,30377,162
1195,263654,30344,162
1196,263662,30336,162
1197,263663,30335,162
1198,263685,30313,162
1199,263753,30245,162
1200,263753,30245,162
1201,263889,30109,162
1202,263906,30092,162
1203,263971,30027,162
1204,264064,29933,163
1205,264064,29933,163
1206,264090,29907,163
1207,264158,29839,163
1208,264158,29839,163
1209,264167,29830,163
1210,264327,29670,163
1211,264340,29657,163
1212,264357,29640,163
1213,264357,29640,163
1214,264357,29640,163
1215,264459,29538,163
1216,264459,29538,163
1217,264500,29497,163
1218,264532,29465,163
1219,264688,29309,163
1220,264768,29229,163
1221,264813,29184,163
1222,264834,29163,163
1223,264899,29098,163
1224,264899,29098,163
1225,264927,29070,163
1226,264976,29021,163
1227,265015,28981,164
1228,265050,28946,164
1229,265051,28945,164
1230,265199,28797,164
1231,265267,28729,164
1232,265267,28729,164
1233,265267,28729,164
1234,265309,28687,164
1235,265353,28643,164
1236,265380,28616,164
1237,265385,28611,164
1238,265433,28563,164
1239,265707,28289,164
1240,265707,28289,164
1241,265707,28289,164
1242,265751,28245,164
1243,265885,28111,164
1244,265893,28103,164
1245,265893,28103,164
1246,265925,28071,164
1247,265928,28068,164
1248,265928,28068,164
1249,265928,28068,164
1250,266052,27944,164
1251,266215,27781,164
1252,266477,27519,164
1253,266532,27464,164
1254,266559,27437,164
1255,266602,27394,164
1256,266602,27394,164
1257,266643,27353,164
1258,266643,27353,164
1259,266645,27351,164
1260,266735,27261,164
1261,266734,27261,165
1262,266848,27147,165
1263,266937,27058,165
1264,266937,27058,165
1265,266937,27058,165
1266,267018,26977,165
1267,267242,26753,165
1268,267242,26753,165
1269,267252,26743,165
1270,267274,26721,165
1271,267351,26644,165
1272,267351,26644,165
1273,267391,26604,165
1274,267458,26537,165
1275,267467,26528,165
1276,267478,26517,165
1277,267478,26517,165
1278,267586,26409,165
1279,267594,26401,165
1280,267594,26401,165
1281,267594,26401,165
1282,267649,26345,166
1283,267702,26292,166
1284,267702,26292,166
1285,267811,26183,166
1286,267828,26166,166
1287,268019,25975,166
1288,268019,25975,166
1289,268078,25916,166
1290,268232,25761,167
1291,268309,25684,167
1292,268441,25552,167
1293,268441,25552,167
1294,268445,25548,167
1295,268552,25441,167
1296,268552,25441,167
1297,268571,25422,167
1298,268571,25422,167
1299,268633,25360,167
1300,268634,25359,167
1301,268645,25348,167
1302,268836,25157,167
1303,268839,25154,167
1304,268839,25154,167
1305,268842,25151,167
1306,269042,24950,168
1307,269149,24843,168
1308,269260,24732,168
1309,269260,24732,168
1310,269348,24644,168
1311,269363,24629,168
1312,269363,24629,168
1313,269363,24629,168
